2019-09-30 16:26:27, BACKUP, Database backup created! 
2019-09-30 16:26:27, SHIFT, Shift created! 
2019-09-30 16:26:27, LOAN, Loan created! 
2019-10-01 07:47:19, LOAN, Loan created! 
2019-10-01 13:19:01, BACKUP, Database backup created! 
2019-10-01 13:19:01, SHIFT, Shift created! 
2019-10-01 13:19:01, LEAVE, Leave credit created! 
2019-10-01 13:19:01, LOAN, Loan created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-01 14:28:03, BACKUP, Database backup created! 
2019-10-01 14:28:03, SHIFT, Shift created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-01 14:28:03, LEAVE, Leave credit created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-01 14:28:03, BACKUP, Database backup created! 
2019-10-01 14:28:03, SHIFT, Shift created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-01 14:28:03, BACKUP, Database backup created! 
2019-10-01 14:28:03, SHIFT, Shift created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-01 14:28:03, LOAN, Loan created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LEAVE, Leave credit created! 
2019-10-03 11:12:36, BACKUP, Database backup created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, BACKUP, Database backup created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LEAVE, Leave credit created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, BACKUP, Database backup created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, LOAN, Loan created! 
2019-10-03 11:12:36, BACKUP, Database backup created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
2019-10-03 11:12:36, SHIFT, Shift created! 
